Date,Close,Change,Close_3sigma_Anomaly,Change_3sigma_Anomaly,Average_Daily_Price_3sigma_Anomaly,IsolationForest_Anomaly
2021-7-16,51.23,6.73,0,0,0,1
2021-7-23,56.97,2.61,0,0,0,1
2021-8-4,58.7,9.84,0,1,0,1
2021-10-27,42.61,-0.09,0,0,0,1
2021-12-14,42.93,-0.05,0,0,0,1
2021-12-20,49.18,5.4,0,0,0,1
2021-12-23,49.57,0.36,0,0,0,1
2021-12-28,51.69,7.4,0,0,0,1
2021-12-29,56.64,9.58,0,1,0,1
2021-12-30,57.06,0.74,0,0,0,1
2021-7-21,54.4,2.1,0,0,0,1
2021-12-16,44.22,2.69,0,0,0,1
2021-12-29,56.64,9.58,0,1,0,1
2021-12-30,57.06,0.74,0,0,0,1
2021-12-31,54.22,-4.98,0,0,0,1
